TARGET96	-168.819	-658.611	1779.976	0.029	0.010	0.014	0.000
TARGET97	-169.084	-846.364	1788.062	0.029	0.011	0.014	0.000
TARGET98	-166.919	1545.720	1511.327	0.031	0.015	0.013	0.000
TARGET99	-167.533	1135.669	1522.033	0.030	0.013	0.012	0.000
TARGET100	-167.471	946.571	1526.243	0.029	0.012	0.012	0.000
TARGET101	-170.072	543.361	1535.683	0.029	0.011	0.013	0.000
TARGET102	-170.705	341.289	1543.167	0.029	0.010	0.013	0.000
TARGET103	-171.275	-56.212	1552.846	0.029	0.010	0.013	0.000
TARGET104	-171.055	-252.705	1558.588	0.029	0.010	0.012	0.000
TARGET105	-170.192	1535.308	1318.907	0.031	0.015	0.012	0.000
TARGET106	-170.570	1324.208	1324.321	0.031	0.014	0.012	0.000
TARGET107	-171.351	-666.544	1575.289	0.029	0.010	0.012	0.000
TARGET108	-171.137	1127.982	1327.545	0.030	0.013	0.011	0.000
TARGET109	-171.929	-840.025	1583.564	0.029	0.011	0.012	0.000
TARGET110	-170.705	938.495	1330.095	0.029	0.012	0.011	0.000
